İstanbul;(77. Yarış Günü);10/10/2025
4;GÖK MİLA KG K GKR;3y k  d;KURTÇABEY;BAHTIEVER;55;A.KAÇMAZ;MEHMET NAİM;V.YÜKSEL;6;%1.97(10);15;1:36.19;20,65;Burun
5;GÜMÜŞBİKE KG K GKR;3y d  d;ÖZGÜNHAN;CABİRE;57;G.ÖZÇELİK;ERDOĞAN ŞENOCAKLI;T.ŞİT;3;%7.86(6);32;1:36.20;9,25;
6;BÜYÜKSULTAN KG K;3y d  e;ÖZGÜNHAN;NEVRA;57;A.SÖZEN;ESİN SULTAN KEPME;MİR.İPEK;2;%7.19(7);;1:36.34;7,85;
7;KARBİR KG DB SK;3y d  d;AYABAKAN;PRENSES MONTANA;57;E.ÇANKAYA;MUSTAFA KAPLAN;Ö.GÜNELİ;13;%16.77(2);36;1:36.35;5,70;
8;ATARTAY KG SK GKR;3y a  e;TAYKUT;KIYMET HANIM;57;A.KURŞUN;MEHMETAKİF KAYA;T.YILMAZ;5;%9.2(5);;1:36.38;7,25;
9;ALSAKİB KG SK GKR;3y a  e;GELİBOLU;CANBANU;53;Y.GÖKÇE AP;MAHMUT ZAMAN;E.KOCA;11;%0.65(13);12;1:37.89;81,85;
10;BEYPAZARI GÜZELİ KG DB SK GKR;3y a  d;UFUKBİR;CANSET;53 +1.50;U.LEVENT AP;ERGÜN FIRAT;B.ŞENGEL;12;%0.5(14);12;1:38.19;102,90;
11;TAM YOL K;3y a  d;SERDÜMEN;BAMBİNO GIRL;55;E.AKTUĞ;FUAT OCAKOĞLU;T.ŞİT;9;%1.17(11);;1:38.72;31,10;
12;AKSOYLUCAN KG DB;3y a  e;KÜÇÜK KAFKASLI;DURDEN;54 +1.50;M.KEÇECİ AP;BAHADIR YENİ;BET.YILDIRIM;10;%4.77(8);31;1:40.30;11,55;
13;KOŞ KARAGÜL KOŞ KG K;3y a  d;THOR;İSYANCAN;55;B.AKÇAY;MERTCAN KARAGÜL;V.KARAKAYA;8;%1.02(12);;1:45.04;41,60;
14;FİKRİ HARİKA KG DB SK;3y k  e;TAMERİNOĞLU;SİDELYA;57;A.ASLAN;H. NİSA ÜNLÜ MUTLU;S.KAYMAKLI;1;%2.23(9);12;1:47.32;26,60;
GANYAN(7) :5,65 TL, 7'Lİ PLASE(3,9/1,4/2,3/3,10/1,2/2,4/7,12) :398,50 TL, 2. 6'LI GANYAN(1/2/10/2/4/7) :8.148,95 TL, 2. 5'Lİ GANYAN(2/10/2/4/7) :2.041,44 TL, 2. 4'LÜ GANYAN(10/2/4/7) :1.151,32 TL, 2. 3'LÜ GANYAN(2/4/7) :213,60 TL, İKİLİ(7/12) :16,60 TL, SIRALI İKİLİ(7/12) :38,15 TL, PLASE(12) :2,45 TL, PLASE(7) :3,15 TL, PLASE İKİLİ(5/12) :13,40 TL, PLASE İKİLİ(5/7) :16,30 TL, PLASE İKİLİ(7/12) :9,80 TL, SIRALI 5 Lİ BAHİS(7/12/5/11/8) :28.359,35 TL, TABELA BAHİS(7/12/5/11) :2.698,25 TL, TABELA BAHİS SIRASIZ(7/12/5/11) :85,68 TL, 9. ÇİFTE(4/7) :40,60 TL

