İstanbul;(77. Yarış Günü);10/10/2025
[(2)BALDER,(8)TULPARIM,] eküridir.GANYAN(2) :1,55 TL, İKİLİ(2/4) :37,50 TL, SIRALI İKİLİ(2/4) :80,05 TL, ÜÇLÜ BAHİS(2/4/5) :1.276,27 TL, PLASE(2) :1,75 TL, PLASE(4) :6,65 TL, PLASE İKİLİ(2/4) :19,20 TL, PLASE İKİLİ(2/5) :24,40 TL, PLASE İKİLİ(4/5) :99,40 TL, SIRALI 5 Lİ BAHİS(2/4/5/7/1) :11.324,45 TL, 1. ÇİFTE(4/2,8) :2,80 TL

3. Kosu :   17.45;SATIŞ 3/DHÖW; 4 Yaşlı Araplar; 58.00kg; 2100m; Sentetik;;;;Rekor Derece :2.22.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)450.000 TL;2.)180.000 TL;3.)90.000 TL;4.)45.000 TL;5.)22.500 TL;1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;OLGUNADAM KG DB SK;4y a  a;SEMEND;ŞÖLENKIZ;57;A.SÖZEN;MEHMET EMİN DEMİRKAPU;D.DEMİRKAPU;2;%7.09(7);53;2:27.27;10,50;2 Boy
2;UMUDUNU KAYBETME KG K DB;4y a  a;GÜNTAY;UMUT IŞIĞIM;58;M.KAYA;SELİM KAYA;V.KARAKUŞ;5;%14.71(4);64;2:27.55;5,40;1 Boy
3;EFE METE BEY SKG;4y k  a;YAKUPBEY;ÖZLÜCAN;57;A.ÇELİK;YÜCEL YAĞIZ;Y.DEMİRKIRAN;7;%16.84(2);70;2:27.76;4,45;4,5 Boy
4;YAĞIZHANBEY KG DB;4y d  a;BAHARŞAH;NURMELEK;55;A.KAÇMAZ;DAVUT ARSLANCA;H.R.YEŞİLBUDAK;3;%5.52(8);56;2:28.67;13,15;Yarım Boy
5;FREKANS KG DB SK GKR;4y d  a;BABA MEVLÜT;ŞAFAKTAN;55;E.BOZDAĞ AP;CAHİT KARADENİZ;E.USLU;4;%1.67(9);24;2:28.77;33,20;
6;ÇAYCI KIZ DB SKG SK;4y a k;TURBO;DOMİNA;56;V.ABİŞ;İSMAİL YILMAZ;R.GÜNELİ;9;%12.39(5);67;2:36.19;4,75;
7;KING PELE KG DB SK;4y k  a;TURBO;AÇIK ARA;58;A.YILDIZ;ZEYNEP DOĞANAY ÇİLEK;U.DEMİR;8;%14.93(3);61;2:39.08;5,65;
8;GRİBULUT KG;4y k k;BAŞSEKLAVİ;KANLITAY;54 +2.00;G.ÖZÇELİK;MEHMET ÇAVUŞ;B.ŞANDAN;1;%8.6(6);32;2:42.16;7,55;
9;BABA MESUT KG DB;4y k  a;TAMERİNOĞLU;SEVİYE;58;Ö.YILDIRIM;ABDULLAH AVCI;A.AVCI;6;%18.24(1);46;2:43.25;4,85;
GANYAN(5) :10,50 TL, İKİLİ(3/5) :32,75 TL, SIRALI İKİLİ(5/3) :62,70 TL, ÜÇLÜ BAHİS(5/3/4) :607,95 TL, PLASE(3) :6,05 TL, PLASE(5) :8,75 TL, 2. ÇİFTE(2,8/5) :29,55 TL

4. Kosu :   18.30;ŞARTLI 4; 3 ve Yukarı İngilizler; 57.00kg; 60.00 kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)425.000 TL;2.)170.000 TL;3.)85.000 TL;4.)42.500 TL;5.)21.250 TL;1.)76.500 TL;2.)30.600 TL;3.)15.300 TL;4.)7.650 TL;5.)3.825 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DAGMAR KG SK;5y d  a;THREE VALLEYS (USA);GIPSY QUEEN;56;V.ABİŞ;ARZU GÜNEŞ;MİR.İPEK;5;%54.35(1);100;2:05.92;1,50;1 Boy
2;MY INVENTION KG DB SK;4y d  a;VICTORY GALLOP (CAN);CELERITAS;60;G.KOCAKAYA;NURBİYE GÜLERCE;İ.KARADAĞ;4;%17.12(2);64;2:06.06;4,45;3 Boy
3;FILIUS VENTUS K DB;4y d  a;TOROK (IRE);SERENARA;57;E.AKTUĞ;MEHMET MURAT UĞURLU;G.GÖKÇE;3;%1.09(7);57;2:06.52;21,90;1 Boy
4;DEMİRKURT K;8y d  a;DUTYFREE;DIVINE LIFE;57;A.KAÇMAZ;UFUK KURTLAR;B.ŞANDAN;1;%4.17(5);89;2:06.67;13,80;1 Boy
5;CROWNED SK;4y d  a;BODEMEISTER (USA);FLY WINGS;56;B.AKÇAY;AYDIN ÜSTÜNDAĞ;E.USLU;2;%0.74(8);61;2:06.83;30,40;
6;DREAM TWICE DB SK;4y d  a;BUSHRANGER (IRE);ATHENA;60;G.ÖZÇELİK;ESRA ATMAN;E.USLU;6;%11.82(3);84;2:06.94;7,30;
7;WINNER GETS IT ALL DB SK;7y a  a;WIN RIVER WIN (USA);LOVELY DOYOUN;62;A.ÇELİK;YILDIRIM GELGİN;A.KÜÇÜKAKSOY;7;%6.99(4);86;2:07.13;13,35;
8;SPEEDY BOSS KG K;3y d  e;BLUEGRASS CAT (USA);FINAL SENSE (USA);57;Ö.YILDIRIM;BANU ALEMDAR SÖLPÜK;U.BİLİK;8;%3.51(6);54;2:07.14;12,70;
9;BORSELLİNO K SKG;4y k  a;RUN AWAY AND HIDE (USA);NEVER MIND;56;S.AKBULAT AP;YAMAN GİDER;MAH.BAYKARA;9 - DS;%0.21(9);12;2:12.78;56,30;
GANYAN(9) :1,50 TL, İKİLİ(3/9) :3,10 TL, SIRALI İKİLİ(9/3) :4,50 TL, ÜÇLÜ BAHİS(9/3/5) :137,90 TL, PLASE(3) :1,35 TL, PLASE(9) :1,40 TL, 3. ÇİFTE(5/9) :22,55 TL

5. Kosu :   19.00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)520.000 TL;2.)208.000 TL;3.)104.000 TL;4.)52.000 TL;5.)26.000 TL;1.)93.600 TL;2.)37.440 TL;3.)18.720 TL;4.)9.360 TL;5.)4.680 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SİYAH PENÇE DB SKG SK;4y d  a;ÖZHABER;DENİZMERYEM;59,5;M.KEÇECİ AP;SELİM YILDIZ;R.TAŞDELEN;6;%21.55(1)  %20.75(1);67;2:20.47;3,95;Yarım Boy
2;CAZGIR YAŞAR SK;4y k  a;TAMERİNOĞLU;ÖZBEYZA;59,5;A.ÇELİK;BİRKAN BORA AKARSU;MİR.İPEK;4;%14.84(3)  %14.03(3);63;2:20.57;5,60;3 Boy
3;AKTER TAY KG DB;5y d  a;ONURKAAN;BERLİN;57;A.YILDIZ;AYHAN KARAYAKA;Ş.GÖKÇE;5;%16.86(2)  %17.49(2);53;2:20.97;4,40;3,5 Boy
4;ESEN BATU KG DB SK GKR;5y d  a;TURBO;IŞINSOY;54;A.KAÇMAZ;HİLMİ CAN ESEN;S.MUTLU;9;%11.63(5)  %11.79(5);47;2:21.48;7,00;Yarım Boy
5;HALİD BEY KG DB;5y k  a;TURBO;BERDANGÜLÜ;57,5;G.ÖZÇELİK;CEMİL TANER;H.E.UYSAL;8;%4.93(8)  %5.22(7);54;2:21.59;9,20;
6;ALATURKA DB;5y a  a;TURBO;MÜJGAN;56,5;Y.GÖKÇE AP;SERAY ÜNBAY;E.USLU;2;%6.82(6)  %7.13(6);58;2:21.63;13,60;
7;GÖKTUĞTAY KG;5y k  a;SİLAH;DÜŞÜMDEKİ;61;E.BOZDAĞ AP;NİMET ARİF KURTEL;B.ŞANDAN;3;%3.91(9)  %4.22(9);65;2:21.66;15,25;
8;TUNÇYILMAZ KG DB SK;5y a  a;UÇANBEY;BOSNALI;62,5;A.SÖZEN;CİHAN EMİL;HAK.POLAT;10 - DS;%5.3(7)  %4.91(8);64;2:21.73;10,15;
9;ÖNDER KG DB;5y a  a;AYABAKAN;GÜLRUZ;59;Y.Ş.GÜMÜŞ AP;CELAL AKIL;FERH.ALTIN;1;%2.18(10)  %2.08(10);63;2:24.25;33,10;
10;KUMRAN HANI KG DB GKR;4y k  a;KAMAN;BOLKARIN GÜLÜ;50 +2.00;A.ASLAN;DEMİRHAN YILMAZ;S.BEKTAŞ;7;%11.98(4)  %12.37(4);36;2:25.42;6,15;
GANYAN(1) :3,95 TL, İKİLİ(1/4) :11,00 TL, SIRALI İKİLİ(1/4) :21,15 TL, 4. ÇİFTE(9/1) :6,80 TL

6. Kosu :   19.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Sentetik;;;;Rekor Derece :1.31.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)430.000 TL;2.)172.000 TL;3.)86.000 TL;4.)43.000 TL;5.)21.500 TL;1.)129.000 TL;2.)51.600 TL;3.)25.800 TL;4.)12.900 TL;5.)6.450 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALPAYMAN KG DB SK;3y a  e;BİÇER;SERAY KIZI;53;Y.GÖKÇE AP;METE ÇELİK;E.KOCA;13 - DS;%34.66(1)  %38.81(1);33;1:35.68;1,65;2 Boy
2;BELLİ BEY KG K;3y d  e;SAADIN GÜCÜ;EL HAMAME;54 +2.00;M.KEÇECİ AP;İSRAFİL FELHAN;Ö.GÜNELİ;2;%6.72(5)  %7.3(5);;1:35.98;10,15;2,5 Boy
3;AYBARIM KG K GKR;3y a  d;AYABAKAN;HANIM EFE;55 +1.20;G.ÖZÇELİK;ERDOĞAN ŞENOCAKLI;T.ŞİT;1;%1.03(10)  %1.06(10);26;1:36.40;41,65;Yarım Boy
4;AL YÜREK KG K DB;3y k  d;THOR;ACELE ETME;55;B.AKÇAY;ERGÜN DİLER;Y.ÖZTAŞ;3;%1.91(9)  %1.81(9);;1:36.53;27,35;Boyun
5;ENGÜRÜ SKG SK;3y a  e;ŞÜKRÜ;ALARAGÜLÜ;57 +0.10;M.KAYA;İBRAHİM ENGİN;E.KARACA;12;%12.81(4)  %11.31(4);30;1:36.56;8,70;
6;KUDRETLİ KAN KG SK;3y a  g;ONURKAAN;SEVGİÇİÇEĞİ;59;A.KURŞUN;CAVİDAN KAYA ÖZASLAN;E.KAYA;4;%18.69(2)  %16.25(2);31;1:36.91;6,85;
7;PELŞİN KG;3y k  d;FATİH AĞA;MEDYA;55;A.KAÇMAZ;SIRAÇ DEMİR;Ö.GÜNELİ;9;%3.21(7)  %3.52(7);;1:38.08;22,20;
8;EFSUNHATUN KG K;3y a  d;GELİBOLU;ŞİMŞEKBURCU;52 +2.00;E.BOZDAĞ AP;CEM KUTER;A.AVCI;8;%0.49(12)  %0.49(12);11;1:39.85;74,95;
9;MON NIA SK;3y k  d;ARASLI;YENİCELİ;55 +1.50;O.ÖZTÜRK;M.ÖMER NAUSHAD MA;E.USLU;6;%12.22(3)  %11.07(3);;1:40.19;6,30;
10;BUSE SK;3y a  d;BİÇER;AYDANARI;55;A.YILDIZ;MEHMET ÇAVUŞ;B.ŞANDAN;11;%2.25(8)  %2.29(8);;1:42.24;31,60;
11;YAFAA SK;3y a  d;AYABAKAN;ARMAĞAN;55;A.ASLAN;M.ÖMER NAUSHAD MA;E.USLU;7;%0.66(3)  %0.56(3);;1:43.88;6,30;
12;AVRENLİ KG K DB;3y k  d;BABA MEVLÜT;UĞURUN KIZI;55;E.AKTUĞ;ÜMİT BEKMEZCİ;A.ŞIVGIN;5;%4.52(6)  %4.74(6);31;1:44.57;20,10;
13;ÇELİK BAŞKAN KG SK;3y a  e;SEMEND;KIZIM KÜBRA;53 +2.00;F.ÇELİK AP;MUNİR GÖKÇE;E.KOCA;10;%0.83(11)  %0.8(11);;1:45.24;54,70;
[(11)MON NIA,(13)YAFAA,] eküridir.GANYAN(2) :1,65 TL, 1. 6'LI GANYAN(4/2,8/5/9/1/2) :1.228,95 TL, 1. 5'Lİ GANYAN(2,8/5/9/1/2) :930,60 TL, 1. 4'LÜ GANYAN(5/9/1/2) :601,87 TL, 1. 3'LÜ GANYAN(9/1/2) :39,90 TL, İKİLİ(2/3) :13,50 TL, SIRALI İKİLİ(2/3) :15,30 TL, ÜÇLÜ BAHİS(2/3/8) :686,00 TL, PLASE(2) :1,90 TL, PLASE(3) :5,00 TL, PLASE İKİLİ(2/3) :14,70 TL, PLASE İKİLİ(2/8) :46,90 TL, PLASE İKİLİ(3/8) :105,20 TL, SIRALI 5 Lİ BAHİS(2/3/8/6/5) :50.184,50 TL, 5. ÇİFTE(1/2) :10,90 TL

7. Kosu :  BYERLEY TURK KOŞUSU 20.00;G 1; 3 ve Yukarı İngilizler; 56.50kg; 60.00 kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)3.500.000 TL;2.)1.400.000 TL;3.)700.000 TL;4.)350.000 TL;5.)175.000 TL;1.)1.050.000 TL;2.)420.000 TL;3.)210.000 TL;4.)105.000 TL;5.)52.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;POETRY IN MOTION DB SK;3y a  e;CATALINA CRUISER (USA);ONE SHOW ONLY (USA);56,5 +1.50;S.KAYA;KEMAL KURT;İB.B.OĞULLARI;1;%22.03(1);95;2:02.93;4,05;2,5 Boy
2;CAPTAIN FANTASTIC DB SKG SK;6y d  a;MSHAWISH (USA);RAHAF (USA);60;A.YILDIZ;SEMA ULAŞ;ON.ÖZELCANAT;6;%8.83(6);105;2:03.28;7,10;Burun
3;RIDE THE LIGHTNING DB SK;4y d  a;TOROK (IRE);INVINCIBLE ROCK;60;M.KAYA;MUSTAFA YILMAZ;V.KARAKUŞ;3;%2.24(10);104;2:03.29;31,80;2 Boy
4;KOCA SEYİD KG SK;8y d  a;SMART ROBIN (JPN);RED BIRD;60;A.ÇELİK;MEHMET ÇAVUŞ;B.ŞANDAN;2;%3.77(7);101;2:03.56;16,35;At Başı
5;FROSTER K DB SKG;3y a  e;FROSTED (USA);VACATION TRAVEL (USA);56,5;A.KURŞUN;M.REŞAT AKKAN;T.TÜRKMEN;10 - DS;%9.7(5);94;2:03.56;9,25;
6;HOPE BREEZE;3y d  e;TOROK (IRE);KATSUYA;56,5;E.ÇANKAYA;ÜMİT DURUCAN;G.ŞİMŞEK;7 - DS;%18.52(2);95;2:03.59;4,40;
7;AL TAN DB SK;4y a  a;LUXOR;NO MORE STRIKE;60;G.KOCAKAYA;NEDİM KİSBU;M.ÖZ;9 - DS;%14.57(3);106;2:05.12;3,70;
8;ALBAYRAK DB SKG SK;3y d  e;WIENER WALZER (GER);LEAVE ME ALONE;56,5;V.ABİŞ;MEHMET ALBAYRAK;E.KOCA;5;%3.69(8);89;2:05.27;22,30;
9;ATTALOS KG K DB;4y d  a;APPROVE (IRE);ŞİRİN HANIM;60;Ö.YILDIRIM;SEMA ORHAN;S.BEKTAŞ;8 - DS;%13.81(4);101;2:06.22;6,35;
10;VINCITORE DB BB;7y d  a;VICTORY GALLOP (CAN);ELEVATO;60;A.SÖZEN;NECATİ DEMİRKOL;Z.GÜNELİ;4;%2.85(9);107;2:08.11;19,60;
