İstanbul;(77. Yarış Günü);10/10/2025
12;HAYLAZKIZ DB;3y k  d;SERDÜMEN;ÇITIRKIZ;55 +0.20;B.AKÇAY;ERSEN BÜYÜKTÜRKLER;G.SUBAŞI;12;%0.63(11);;Ç9S0;9;18;1:38.84
13;KAMERAYKIZI DB SK;3y k  d;ATEŞTOPU;KAMERAY;54 +2.00;M.KEÇECİ AP;NECDET YILDIZ;R.GÜNELİ;11;%0.83(9);27;Ç4Ç5K5Ç7Ç8S7;30;14;
[(2)BALDER,(8)TULPARIM,] eküridir.1. 5'Lİ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS

3. Kosu :   17.45;SATIŞ 3/DHÖW; 4 Yaşlı Araplar; 58.00kg; 2100m; Sentetik;;;;Rekor Derece :2.22.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)450.000 TL;2.)180.000 TL;3.)90.000 TL;4.)45.000 TL;5.)22.500 TL;1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;BABA MESUT KG DB;4y k  a;TAMERİNOĞLU;SEVİYE;58;Ö.YILDIRIM;ABDULLAH AVCI;A.AVCI;6;%18.24(1);46;Ç3S4Ç3Ç2S5Ç2;14;18;2:31.59
2;KING PELE KG DB SK;4y k  a;TURBO;AÇIK ARA;58;A.YILDIZ;ZEYNEP DOĞANAY ÇİLEK;U.DEMİR;8;%14.93(3);61;K5K9Ç1Ç5S5K1;11;20;2:30.40
3;UMUDUNU KAYBETME KG K DB;4y a  a;GÜNTAY;UMUT IŞIĞIM;58;M.KAYA;SELİM KAYA;V.KARAKUŞ;5;%14.71(4);64;Ç4Ç6Ç3Ç7S8K2;11;14;2:27.28
4;EFE METE BEY SKG;4y k  a;YAKUPBEY;ÖZLÜCAN;57;A.ÇELİK;YÜCEL YAĞIZ;Y.DEMİRKIRAN;7;%16.84(2);70;Ç1Ç7K6S5Ç3Ç4;12;15;
5;OLGUNADAM KG DB SK;4y a  a;SEMEND;ŞÖLENKIZ;57;A.SÖZEN;MEHMET EMİN DEMİRKAPU;D.DEMİRKAPU;2;%7.09(7);53;Ç3Ç4Ç6Ç9S3Ç7;17;14;
6;ÇAYCI KIZ DB SKG SK;4y a k;TURBO;DOMİNA;56;V.ABİŞ;İSMAİL YILMAZ;R.GÜNELİ;9;%12.39(5);67;Ç6S2S3Ç1Ç0Ç6;9;18;2:30.25
7;FREKANS KG DB SK GKR;4y d  a;BABA MEVLÜT;ŞAFAKTAN;55;E.BOZDAĞ AP;CAHİT KARADENİZ;E.USLU;4;%1.67(9);24;Ç5Ç4Ç5S9-Ç0Ç6;18;10;
8;YAĞIZHANBEY KG DB;4y d  a;BAHARŞAH;NURMELEK;55;A.KAÇMAZ;DAVUT ARSLANCA;H.R.YEŞİLBUDAK;3;%5.52(8);56;Ç4S4Ç1Ç1S0Ç7;9;18;
9;GRİBULUT KG;4y k k;BAŞSEKLAVİ;KANLITAY;54 +2.00;G.ÖZÇELİK;MEHMET ÇAVUŞ;B.ŞANDAN;1;%8.6(6);32;S9K8Ç9S3S4Ç3;19;13;
1. 4'LÜ GANYAN;3. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE

4. Kosu :   18.30;ŞARTLI 4; 3 ve Yukarı İngilizler; 57.00kg; 60.00 kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
