İstanbul;(7. Yarış Günü);10/12/2025
1;CLEMENZA KG DB;2y d  e;FLINTSHIRE (GB);SABLEROSE (IRE);60;A.YILDIZ;YÜKSEL GÖKTÜRK;H.BOYRAZ;1;;57;S1Ç4Ç8S5S2S5;28;16;
2;FALCONNIDAE DB SK;2y d  e;TORUK MACTO (IRE);LADY FALCON;57;GÖKH.GÖKÇE;HALİL EVREN ŞAHİN;Y.DEMİRKIRAN;4;;47;S1S9S3S2;28;17;
3;GEMINAS DB SK;2y d  e;TOROK (IRE);KARA LAÇİN;57;Ö.YILDIRIM;RODA BARLIK;G.SÜTCÜ;3;;54;S1Ç3Ç7S3;31;17;
4;MEGOHİME SK;2y d  d;BODEMEISTER (USA);PUDDING;57;E.ÇANKAYA;SEMİH KATI;M.DOLAK;2;;37;K1K4K6K5K4K7;13;15;1:31.02
5;SNOW LEOPARD SK;2y k  e;NATIVE KHAN (FR);MARA DESPINA (IRE);53;SERH.ÇELİK AP;GÜLİZAR YANIK;M.DOLAK;5;;43;Ç3Ç3Ç2K1;15;20;1:30.58
7'Lİ PLASE;1. 3'LÜ GANYAN;3. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;SIRALI İKİLİ

4. Kosu :   15.30;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.12.42
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;AINT NOBODY K;2y d  d;TOROK (IRE);FREE BIRD;57;SAL.ÇELİK;ERDEM BEKMEZCİ;SER.YILDIZ;4;;34;Ç4Ç3S2;12;17;
2;ANGEL OF TIME K;2y d  d;APPROVE (IRE);LADY MAYA;57;A.SÖZEN;HÜSEYİN GÜNER;Ç.AYDIN;11 - DS;;;Ç2;31;19;
3;BIMINI ROAD DB SK;2y d  d;KANEKO;LADY SMITH;57;A.YILDIZ;ADİL MERT KAYA;T.TAŞAR;5;;13;Ç6S7Ç8S9;59;16;
4;CHARLIE THE FIRST KG K;2y d  d;KLIMT (USA);WENONA;57;V.ABİŞ;MURAT KADAİFÇİOĞLU;MİR.İPEK;10;;;Ç0;31;19;
5;CROWN JEWEL KG DB SK;2y d  d;EPAULETTE (AUS);KUDO;57;M.M.BİLGİN;HÜLYA GÖDEK;T.TAŞAR;9;;13;Ç0S7S8;59;17;
6;HEAVEN LIGHT KG;2y d  d;SUPER SAVER (USA);ŞEKER HANIM;53;Y.GÖKÇE AP;ALİ RIZA ÇELİKOĞLU;U.BİLİK;7;;;S3Ç0;26;18;
7;LADYBIRD KG;2y d  d;KLIMT (USA);KRALİÇE HERA;57;O.ÖZTÜRK;Ö.ŞAHİN EĞİLLİ;E.USLU;2;;35;Ç4S8S5Ç2Ç3;26;16;
8;MADORA K GKR ÖG;2y d  d;BATTLEGROUND (USA);MANDRANA;54;A.MEH.ALTIN AP;AHMET KAVRAN;S.AYDOĞDİ;1;;;K6;11;19;
9;MER DE FIRE K;2y d  d;MER DE GLACE (JPN);FULL HOPE;57;B.AKÇAY;ERDAL DAĞIDIR;ŞÜK.ÇELİK;8;;;;;20;
10;SMOOTH CRIMINAL SK;2y d  d;HEMSWORTH (USA);FLANDRA;57;E.ÇANKAYA;HAKAN YENİDOĞAN;H.ACAR;6;;31;S2S0K4;18;17;
11;SYRENA DB SK;2y d  d;EPAULETTE (AUS);SUGAR LOVE* (GER);53;ER.CANKILIÇ AP;DUYGU FATURA;E.USLU;3;;33;Ç3Ç4S6S6;95;16;
2. 6'LI GANYAN Bu koşudan başlar;4. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ

5. Kosu :   16.00;Handikap 17 /H1; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.58
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)117.600 TL;2.)47.040 TL;3.)23.520 TL;4.)11.760 TL;5.)5.880 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;DEHLİN DB SKG SK;3y d  e;MYBOYCHARLIE (IRE);CHICA LOCA;61;E.BOZDAĞ AP;MURAT ÇAĞIMNI;U.DEMİR;2;;79;K3K1Ç1S4S1K1;14;20;1:26.64
2;HURRICANE HEART KG DB SK;4y a  a;LION HEART (USA);HURRICANE DANCER;61;E.ÇANKAYA;METE ALBAYRAK;MET.ACAR;8;;73;K4K5K2K1K4K5;14;18;1:25.55
3;TURKISH PUNCH K;4y d  a;DAREDEVIL (USA);TAQWEEM (USA);61;A.KURŞUN;AYDIN ÜSTÜNDAĞ;E.USLU;9;;73;Ç6Ç8Ç1Ç1Ç1K3;14;19;1:27.26
4;VERMAX SK;3y d  e;MYBOYCHARLIE (IRE);MYSTICAL STORM;59,5;A.YILDIZ;ŞEYDA ERCAN;A.TEPEBAŞI;11;;72;S3S4S4S3S2S3;45;17;
5;EKARAJ DB SKG SK ÖG;5y d  a;KALİMDOR;LADY SYLVANAS;57;ER.CANKILIÇ AP;MUHAMMET MERT KARAHAN;T.ŞİT;4;;71;K7K1K6S7S7K7;78;16;1:27.87
6;STAR MY BEST SKG SK;3y d  e;APPROVE (IRE);TAWAFEEG (USA);59;G.ÖZÇELİK;MERT BAYIR;T.ŞİT;7;;71;K5K1K1K7K6K3;18;17;1:27.34
7;ELEGİE SKG SK;5y d k;PAPA CLEM (USA);QUEEN OF KHALKEDON;57,5;M.KEÇECİ AP;YAMAN GİDER;MAH.BAYKARA;10;;70;K8K8K1S0K9K0;21;17;1:26.25
