Şanlıurfa;(6. Yarış Günü);10/12/2025
3;KÜÇÜK EYYÜP KG DB SK;3y k  e;TALİPHAN;CİMCİMEM;57,5;H.ALTUNDAĞ;REŞİT TUMBUL;MEH.ALTIN;7;;50;Ç2Ç1Ç5Ç7K1;26;20;1:37.32
4;HIZLI İBRAHİM KG SK;3y k  e;FATİH AĞA;ERGÜL HANIM;57;İ.KATAR;SEDAT SUBAY;İ.ÇEÇAN;3;;49;K2K1K4K2K2K2;14;19;
5;SURUÇLU MEMO KG SK;3y k  e;FATİH AĞA;ELENAZ;56;A.AKDEMİR;MÜSLÜM BAKAY;F.BAKAY;8;;47;K4Ç1Ç2Ç3Ç2K3;15;17;
6;YUSUF KAPTAN KG DB SK;3y a  e;ALTINCI HİS;KAFKASLIDEVRANI;55,5;F.YARDIMCI;MEHMET AKYILDIRIM;Y.BAYSAL;6;;46;K5K3K3K5K4K1;16;20;1:48.88
7;ÇERMİKŞAH KG SK;3y k  e;DEMİRDÖVEN;ÇERMİKKIZI;54;İ.AKYAVUZ;FUAT ARSLAN;R.BECENE;4;;43;K3K2K4K3K9K1;30;20;1:42.16
8;TAHT ALAN KG DB;3y a  e;ATEŞTOPU;İNCİFER;54;A.H.BAYAR;MEHMET KILIÇ;N.DOĞAN;5;;43;K7K6K4K1K7K0;30;18;1:43.55
9;ÇILGIN HEME DB SKG SK;3y k  e;SON MARTI;YARDIMCI GÜLÜ;52,5;İ.GÜREKE AP;ÖMER YARDIMCI;EY.YARDIMCI;2;;40;K2K2K3K5K3K3;14;17;
2. 6'LI GANYAN Bu koşudan başlar;3. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ

4. Kosu :   19.30;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.35.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)285.000 TL;2.)114.000 TL;3.)57.000 TL;4.)28.500 TL;5.)14.250 TL;1.)85.500 TL;2.)34.200 TL;3.)17.100 TL;4.)8.550 TL;5.)4.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;KÜÇÜK ZEYNEP;3y d  d;ASLANPARÇASI;KIRBERCA;59;İ.GÜREKE AP;HACIM KANDEMİR;H.ÇALI;11;;30;K0K0Ç2K7Ç5K5;9;14;
2;NAZLI BERRA DB SK;3y k  d;ALTINCI HİS;DENİZSEFASI;60;İ.AKYAVUZ;MUSTAFA YARDIMCI;A.YARDIMCI;2;;25;K5K5K2K6K2K3;9;17;1:52.23
3;YARALI AKBAŞ KG DB SK;3y a  d;SEMEND;ZEYNEBİM;59;Y.CENGİZ;MAHMUT AKBAŞ;Ö.GÜNDÜZ;6;;25;K5Ç6K2K5K2K7;11;17;1:47.41
4;ANANDİ KG DB;3y a  d;SERHANTAY;NESİBE KIZ;54;E.AKKILIÇ AP;İBRAHİM ÇELİK;BAR.BULUT;5;;24;K0K2K8K4K4K5;9;16;1:54.19
